material_name,wavelength_nm,reflectance,category,confidence
Quartz,400,0.92,silicate,0.95
Quartz,500,0.94,silicate,0.95
Quartz,600,0.95,silicate,0.95
Quartz,700,0.96,silicate,0.95
Quartz,800,0.97,silicate,0.95
Quartz,900,0.96,silicate,0.95
Quartz,1000,0.95,silicate,0.95
Quartz,1100,0.94,silicate,0.95
Quartz,1200,0.93,silicate,0.95
Quartz,1300,0.92,silicate,0.95
Quartz,1400,0.91,silicate,0.95
Quartz,1500,0.90,silicate,0.95
Calcite,400,0.88,carbonate,0.92
Calcite,500,0.90,carbonate,0.92
Calcite,600,0.92,carbonate,0.92
Calcite,700,0.94,carbonate,0.92
Calcite,800,0.95,carbonate,0.92
Calcite,900,0.96,carbonate,0.92
Calcite,1000,0.95,carbonate,0.92
Calcite,1100,0.94,carbonate,0.92
Calcite,1200,0.93,carbonate,0.92
Calcite,1300,0.92,carbonate,0.92
Calcite,1400,0.91,carbonate,0.92
Calcite,1500,0.90,carbonate,0.92
Kaolinite,400,0.75,clay,0.88
Kaolinite,500,0.78,clay,0.88
Kaolinite,600,0.82,clay,0.88
Kaolinite,700,0.85,clay,0.88
Kaolinite,800,0.87,clay,0.88
Kaolinite,900,0.88,clay,0.88
Kaolinite,1000,0.89,clay,0.88
Kaolinite,1100,0.87,clay,0.88
Kaolinite,1200,0.85,clay,0.88
Kaolinite,1300,0.83,clay,0.88
Kaolinite,1400,0.80,clay,0.88
Kaolinite,1500,0.78,clay,0.88
Hematite,400,0.15,oxide,0.90
Hematite,500,0.18,oxide,0.90
Hematite,600,0.22,oxide,0.90
Hematite,700,0.28,oxide,0.90
Hematite,800,0.35,oxide,0.90
Hematite,900,0.42,oxide,0.90
Hematite,1000,0.48,oxide,0.90
Hematite,1100,0.52,oxide,0.90
Hematite,1200,0.55,oxide,0.90
Hematite,1300,0.57,oxide,0.90
Hematite,1400,0.58,oxide,0.90
Hematite,1500,0.59,oxide,0.90
Gypsum,400,0.82,sulfate,0.85
Gypsum,500,0.85,sulfate,0.85
Gypsum,600,0.88,sulfate,0.85
Gypsum,700,0.90,sulfate,0.85
Gypsum,800,0.91,sulfate,0.85
Gypsum,900,0.92,sulfate,0.85
Gypsum,1000,0.91,sulfate,0.85
Gypsum,1100,0.90,sulfate,0.85
Gypsum,1200,0.88,sulfate,0.85
Gypsum,1300,0.86,sulfate,0.85
Gypsum,1400,0.84,sulfate,0.85
Gypsum,1500,0.82,sulfate,0.85
